FinalComple Comple Symm FIFOSlowdown FIFOUnfairness FairSlowdown FairUnfairness DRFSlowdown DRFUnfairness PerfSlowdown PerfUnfairness 
0.028 0.055 0.714 0.070 0.007 0.000 0.123 0.035 0.000 0.087 0.279
0.053 0.103 0.714 0.198 0.211 0.279 0.115 0.163 0.000 0.000 0.161
0.161 0.161 1.000 0.101 0.158 0.225 0.169 0.124 0.000 0.000 0.121
0.014 0.057 0.500 0.000 0.819 0.261 0.126 0.205 0.000 0.023 0.856
0.151 0.151 1.000 0.094 0.013 0.170 0.178 0.066 0.000 0.000 0.530
0.044 0.044 1.000 0.055 0.071 0.154 0.063 0.176 0.000 0.000 0.275
0.130 0.255 0.714 0.087 1.085 0.126 0.230 0.000 0.000 0.019 1.863
0.223 0.223 1.000 0.245 0.568 0.194 0.244 0.000 0.000 0.082 0.055
0.045 0.180 0.500 0.261 0.048 0.273 0.153 0.091 0.000 0.000 0.056
0.041 0.081 0.714 0.134 0.135 0.113 0.055 0.056 0.000 0.000 0.227
0.089 0.089 1.000 0.000 1.238 0.138 0.108 0.043 0.000 0.000 0.938
0.093 0.093 1.000 0.000 0.328 0.099 0.053 0.027 0.000 0.000 0.411
0.111 0.218 0.714 0.118 0.569 0.183 0.160 0.097 0.000 0.000 0.081
0.016 0.140 0.333 0.022 0.070 0.000 0.072 0.011 0.000 0.065 0.077
0.048 0.093 0.714 0.213 0.242 0.245 0.108 0.085 0.000 0.000 0.265
0.165 0.165 1.000 0.120 0.132 0.110 0.057 0.080 0.000 0.000 0.395
0.024 0.024 1.000 0.000 0.225 0.103 0.063 0.095 0.000 0.032 0.140
0.030 0.059 0.714 0.148 0.149 0.043 0.032 0.096 0.000 0.000 0.750
0.054 0.218 0.500 0.122 0.118 0.268 0.204 0.195 0.000 0.000 0.094
0.030 0.119 0.500 0.000 0.088 0.130 0.378 0.140 0.000 0.090 0.001
0.134 0.134 1.000 0.000 0.657 0.081 0.268 0.081 0.000 0.032 0.206
